AS Rank,AS Number,AS Name,Organisation,NREN
110,20965,GEANT,GEANT Vereniging,GEANT
117,21320,GEANT_IAS_VRF,GEANT Vereniging,GEANT
59138,6906,GEANT-Apollo,SIA Tet,GEANT
67280,202012,AS-DANTE,GEANT Vereniging,GEANT
395,1853,ACOnet,ACONET,Austrian NREN
9867,1120,ACOnet_Services,ACONET,Austrian NREN
44587,35052,AS_AT_TLD_SERVICES,ACONET,Austrian NREN
67280,49856,Studenthostels-ASCUS,ACONET,Austrian NREN
67280,59409,Legaconetworks1,Legaco Networks B.V.,Austrian NREN
67280,1119,,ACOnet Testing AS,Austrian NREN
67280,1122,,ACONET-AS for TNC17,Austrian NREN
67280,41725,legaconetworks2,Legaco Networks B.V.,Austrian NREN
1833,2611,BELNET,BELNET,Belgian NREN
8977,35493,Belnet,"Belnet Snina, s.r.o.",Belgian NREN
20976,198338,BELNET-NG-AS,Neapol Group Ltd,Belgian NREN
23093,44800,BELNETUA-AS,BELNET LTD,Belgian NREN
32559,266410,,BELNET EIRELLI,Belgian NREN
45678,51448,ASURALCABELNETS,Uralskie Kabelnye Seti Ltd.,Belgian NREN
67280,5406,,BELNET,Belgian NREN
67280,198559,CERTBE,BELNET,Belgian NREN
1727,2852,CESNET2,CESNET z.s.p.o.,Czech NREN
67280,2605,CESNET,CESNET z.s.p.o.,Czech NREN
6489,2108,CARNet-AS,Croatian Academic and Research Network,Croatian NREN
1026,1103,SURFNET-NL,SURFnet bv,Dutch NREN
4834,1101,IP-EEND-AS,SURFnet bv,Dutch NREN
6752,1125,,SURFnet bv,Dutch NREN
10549,1128,TUDELFT-NL,SURFnet bv,Dutch NREN
11213,1161,AS-TUE,SURFnet bv,Dutch NREN
12078,1199,SPEELTUIN-AS,SURFnet bv,Dutch NREN
12078,1133,UTWENTE-AS,SURFnet bv,Dutch NREN
12948,1147,MCL-AS,SURFnet bv,Dutch NREN
20233,1145,Kennisnet-AS,SURFnet bv,Dutch NREN
28079,1142,WKAPNET,SURFnet bv,Dutch NREN
42724,1102,SMEERBOEL-AS,SURFnet bv,Dutch NREN
44607,1149,SURFNET-AS,SURFnet bv,Dutch NREN
59138,1146,OS3-AS,SURFnet bv,Dutch NREN
66935,1132,METEOGROUP-AS,SURFnet bv,Dutch NREN
67280,1127,,SURFnet bv,Dutch NREN
67280,1153,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1192,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1179,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1106,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1152,SIVON-AS,SURFnet bv,Dutch NREN
67280,1178,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1174,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1160,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1141,TUE-Spacelabs,SURFnet bv,Dutch NREN
67280,1167,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1189,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1180,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1154,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1155,,SURFnet bv,Dutch NREN
67280,1162,SURFsara-AS,SURFnet bv,Dutch NREN
67280,1168,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1176,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1159,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1177,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1171,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1151,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1130,,SURFnet bv,Dutch NREN
67280,1169,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1157,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1184,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1175,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1131,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1191,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1186,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1182,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1139,,SURFnet bv,Dutch NREN
67280,1144,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1181,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1165,SURFNET-AS,SURFnet bv,Dutch NREN
67280,196613,SURFNET-NL,SURFnet bv,Dutch NREN
67280,1158,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1170,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1105,SURFNET-AS,SURFnet bv,Dutch NREN
67280,1190,,SURFnet bv,Dutch NREN
